,User ID Integer,User ID String,Name Of User,Display Name,Tweet ID Integer,Tweet ID String,tweet,Date Created,Reply User ID Integer,Reply User ID String,Reply User Screen Name,Like Count,Retweet Count,Place,Prediction,TF-IDF Score
23,327171806,327171806,Net ✨,NetBrisha,1397590161135910912,1397590161135910912,ive wait cloth zara sinc may th highli annoy,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 928)	0.3450904446627355
  (0, 845)	0.3792142295902576
  (0, 762)	0.35829621944810236
  (0, 530)	0.4049284761316999
  (0, 438)	0.3487920670605953
  (0, 150)	0.40955825572986443
  (0, 26)	0.3941725897937447"
24,510438119,510438119,CARS Tour,CARSTour,1397590163040215044,1397590163040215044,head larri king law langley speedway saturday june th car tour late model stock take langley storm summer night battl along with local divis ucar grand stock super truck ticket avail here httpstcowzmakxut httpstcocwsfwidc,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 967)	0.15861671976288416
  (0, 845)	0.29307061279506424
  (0, 829)	0.22683199672210214
  (0, 821)	0.3347888293926113
  (0, 820)	0.32623024390108885
  (0, 595)	0.26078997278810695
  (0, 476)	0.3347888293926113
  (0, 473)	0.30963748321839357
  (0, 463)	0.3367228624419211
  (0, 386)	0.29307061279506424
  (0, 378)	0.2584375847887687
  (0, 123)	0.27740740519223483"
25,1268446514050789376,1268446514050789376,🌙luwu,luwunattv,1397590163665002498,1397590163665002498,nokkusua benni razor genshinimpact fana httpstcobmtbiogdu,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,
26,2865245608,2865245608,kumaresan selva STR,SumisanStr,1397590163631398918,1397590163631398918,vaalibantweetz th tamil song hit million view youtub rd fastest tamil song first thalaivan…,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 845)	0.409720450612189
  (0, 790)	0.7661261875394121
  (0, 393)	0.3370987525135373
  (0, 291)	0.36269029235738726"
27,1397588797399863305,1397588797399863305,sanjida2266,sanjida2266,1397590163652370433,1397590163652370433,mexicoinsur drive mexico terribl challeng get beyond confus larger citi exp…,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 330)	0.2832852043997598
  (0, 232)	0.5173994805599609
  (0, 160)	0.5914881146000609
  (0, 144)	0.5497172734882307"
28,1157182771871150080,1157182771871150080,🔞Nαɳƈყ❣,NaughtyNancyC,1397590163576868869,1397590163576868869,badkittyyi botox lip filler pretti blowjob httpstcokmxnrsvq,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 664)	0.6532326641715719
  (0, 495)	0.757157240247566"
29,1209510943169880065,1209510943169880065,Sarah 💕JISOO 🖤,Ssarah_off,1397590163589505025,1397590163589505025,iconickpopera blackpink jisoo like era httpstcobcxibdmn,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 492)	1.0"
30,1362393799830298629,1362393799830298629,coco⁷Bᴜᴛᴛᴇʀ,CH0C0LATE_WINGZ,1397590163652444163,1397590163652444163,btschadata 𝙣𝙤𝙬 𝙥𝙡𝙖𝙮𝙞𝙣𝙜 dynamit listeningbutterpay httpstcobgabfjqdl,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,
31,171574527,171574527,Raul,titohuncho,1397590163656613890,1397590163656613890,brgame pokémon legend arceu launch open world game base prehistor era sinnoh region 🔥 https…,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 976)	0.47492977684239296
  (0, 620)	0.5123036847817651
  (0, 325)	0.4153484646169512
  (0, 60)	0.5826425100932835"
32,336593693,336593693,Greg in Ponoka,GregJacobBraat,1397590163644043267,1397590163644043267,radiusretreat stay dri roost yu travelbc outdoor natur httpstcoqfjdzkvo,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 999)	0.5138006811720358
  (0, 805)	0.42277341485038805
  (0, 576)	0.5278595929425237
  (0, 230)	0.5278595929425237"
33,1323392179587481601,1323392179587481601,mag,imaginepov,1397590163723784197,1397590163723784197,im happi love,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 514)	0.5051360599512879
  (0, 425)	0.5479605585874455
  (0, 372)	0.6667659163225303"
34,1354655701780492291,1354655701780492291,𝒻𝒶𝓁 𝒶𝓁𝒾𝒶,luvrennie,1397590163673387008,1397590163673387008,luvrenni wt want sell pc jisung candylab v photomat pc jisung preciou moment apm price keach take …,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 932)	0.36767651406576235
  (0, 829)	0.42113069096455324
  (0, 739)	0.5526183737035791
  (0, 554)	0.6181228479658218"
35,1268243823437606912,1268243823437606912,웨두⁷🧈♡'esha,snowflower1330,1397590163652366339,1397590163652366339,varieti with ‘butter’ bt first intern group ad everi monitor top station song’ first week httpst…,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 967)	0.2067394069321408
  (0, 944)	0.37164602620909004
  (0, 886)	0.3724391669243309
  (0, 790)	0.35713239347030323
  (0, 291)	0.6762773773028055
  (0, 252)	0.3090832869109244"
36,1381473225217994757,1381473225217994757,MeiLin,coldbeautyaxu,1397590163673419780,1397590163673419780,xiaobabiiwawa popular singer china shangwenji also one mountain peopl cover lot shl song huge fan fo…,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 790)	0.346461022973543
  (0, 635)	0.28148198693314397
  (0, 618)	0.2507211483293506
  (0, 512)	0.3458726308168664
  (0, 411)	0.4209801907262641
  (0, 297)	0.41249972330115486
  (0, 274)	0.3561374971155798
  (0, 18)	0.3795120815801866"
37,1465282718,1465282718,C🛸,MasonGoHard,1397590163664953345,1397590163664953345,makellros bleacherrepo nigga like httpstcopmqzxtl,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 590)	0.7431624181563075
  (0, 492)	0.669111067192936"
38,899945574312443909,899945574312443909,शुभम तिवारी अयोध्यावासी (Shubham tiwari),Shubham95330145,1397590163568558082,1397590163568558082,bambalalbjp pleas suppo everi nationalist friends🙏🚩 suppo today❓ myprideyogiji retweet🔃…,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 878)	0.29756799192623906
  (0, 822)	0.7532630350633748
  (0, 705)	0.3945265802511013
  (0, 653)	0.32702366629938784
  (0, 252)	0.2853986498629183"
39,1172879471617216513,1172879471617216513,Simon,WATP67770473,1397590163593875461,1397590163593875461,larrieb rfcwatp theparkheadf kianmcgrath go offici footbal organis record fit narr yeah celtic fan caus troubl 😂😂,2021-05-26 16:27:15,518798119,518798119,larrieb121,0,0,Null,0,"  (0, 989)	0.42896026508218316
  (0, 338)	0.32644204368646484
  (0, 293)	0.5648359208564917
  (0, 274)	0.4803981935824275
  (0, 129)	0.39950799892788996"
40,2730778852,2730778852,___🦊🤍208,sppssh,1397590163618816002,1397590163618816002,iconickpopvoc treasur yedam there noth holdin back httpstcouvkhigcco,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 852)	0.6175512725393217
  (0, 602)	0.607663890721057
  (0, 51)	0.49937463061194004"
41,1336711491869786112,1336711491869786112,Devi Lal Singh (ƉɆ⩔ƗⱠ),DeviDevil786,1397590163732144132,1397590163732144132,vishwajitrao boxoficeindian ranajoypaul india biggest superstar salman khan prabha,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 78)	1.0"
42,1351716865089839105,1351716865089839105,trace 🌱☀️,tracesounds,1397590163685928960,1397590163685928960,masasyk conan dumb 😠 chat now pepelaugh conan in denial nobodi watch httpstcoqfglmulw,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0,"  (0, 936)	0.4105313283745973
  (0, 604)	0.4396100581616651
  (0, 598)	0.4624485954653708
  (0, 428)	0.5158376121296107
  (0, 237)	0.397818903083568"
43,1140844401125724160,1140844401125724160,Levi Dyer,GrzmotBear,1397590167704248320,1397590167704248320,tastingink fuck go,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 338)	0.7840044240145266
  (0, 316)	0.620755236083958"
44,599788291,599788291,Dipo,ojadeu,1397590167809101824,1397590167809101824,felt thi,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 854)	1.0"
45,3974172073,3974172073,Kendrickthebear,beastmode2214,1397590167829979137,1397590167829979137,jminsberri love hip hop phile caus name lyrics☺️,2021-05-26 16:27:16,1270618951840436225,1270618951840436225,jminsberry,0,0,Null,0,"  (0, 573)	0.49182013138570646
  (0, 514)	0.38192954158561987
  (0, 402)	0.6377141803814992
  (0, 129)	0.4533910098009193"
