,User ID Integer,User ID String,Name Of User,Display Name,Tweet ID Integer,Tweet ID String,tweet,Date Created,Reply User ID Integer,Reply User ID String,Reply User Screen Name,Like Count,Retweet Count,Place,Prediction
119,User ID Integer,User ID String,Name Of User,Display Name,Tweet ID Integer,Tweet ID String,tweet,Date Created,Reply User ID Integer,Reply User ID String,Reply User Screen Name,Like Count,Retweet Count,Place,0
120,124290595,124290595,Yardonna,yardonna,1397951692432359425,1397951692432359425,rsbnetwork statement donald j trump th presid unit state america httpstcohlpgtmhwg,2021-05-27 16:23:50,Null,Null,Null,0,0,Null,0
121,1215775391832371201,1215775391832371201,💙🌊🌞Heidi Hoe🌞🌊💙,WooleyHeidi,1397951695804518403,1397951695804518403,itsjefftiedrich rais hand like kevin mccahi testifi oath front congress televis …,2021-05-27 16:23:51,Null,Null,Null,0,0,Null,0
122,979166264609427456,979166264609427456,Matthew Cordasco,MattyCordasco,1397951697914404865,1397951697914404865,mzhemingway molli hemingway media kill lableak theori let donald trump right httpstcokrvkd,2021-05-27 16:23:52,Null,Null,Null,0,0,Null,0
123,170075318,170075318,🌊Eee🌊Kay🌊Emm🌊Emm🌊Dee🌊,fiatslug,1397951700611207172,1397951700611207172,billkristol paul ryan posit someth degener conservat demagogueri outragep…,2021-05-27 16:23:52,Null,Null,Null,0,0,Null,0
124,875516759763058689,875516759763058689,Laurie 🌊🌊🌊The Democrat 🇺🇲,kuhnhall,1397951701038997512,1397951701038997512,bettybow donald trump sent american anthrax mail ted want know spore china,2021-05-27 16:23:52,Null,Null,Null,0,0,Null,0
125,5627022,5627022,Rehmi Post,rehmi,1397951701290606593,1397951701290606593,billkristol paul ryan posit someth degener conservat demagogueri outragep…,2021-05-27 16:23:52,Null,Null,Null,0,0,Null,0
126,1273821127610109952,1273821127610109952,💣Biden is A WAR CRIMINAL💀BRING THE RUCKUS☀️,iggymogo,1397951701982851082,1397951701982851082,spiritofho amen httpstcorfqxmxpa,2021-05-27 16:23:53,Null,Null,Null,0,0,Null,0
127,1216995734,1216995734,alicia locus,AliciaLocus,1397951703488503810,1397951703488503810,itsjefftiedrich rais hand like kevin mccahi testifi oath front congress televis …,2021-05-27 16:23:53,Null,Null,Null,0,0,Null,0
128,3228352226,3228352226,Dr. Ankush Ajbani,AjbaniAnkush,1397951703828238339,1397951703828238339,yearofthekraken surpris donald trump decid issu statement india vs twitter issu,2021-05-27 16:23:53,Null,Null,Null,0,0,Null,0
129,562953953,562953953,Hirbowedge,hirbowedge,1397951703991848960,1397951703991848960,pegobri what’ strike incred power liber ha assad could declar caliph div…,2021-05-27 16:23:53,Null,Null,Null,0,0,Null,0
130,76471879,76471879,Ken Sheetz #TrumpsFeverDream,BuzzBroz,1397951704314699776,1397951704314699776,sethabramson break news despit recent record statement former presid donald trump impli opposit would true…,2021-05-27 16:23:53,Null,Null,Null,0,0,Null,0
131,1299593910423965696,1299593910423965696,_🧸🍓,daegukings_r,1397951705111613443,1397951705111613443,knjspersonaa open app stream one left engag with kpoppi fri nugget need…,2021-05-27 16:23:53,Null,Null,Null,0,0,Null,0
132,2266541233,2266541233,colette flanigan,FlaniganColette,1397951705862623232,1397951705862623232,sethabramson break news despit recent record statement former presid donald trump impli opposit would true…,2021-05-27 16:23:54,Null,Null,Null,0,0,Null,0
133,1338148413523722240,1338148413523722240,Biblioanglophile,Biblioanglophi1,1397951708534247424,1397951708534247424,billkristol paul ryan posit someth degener conservat demagogueri outragep…,2021-05-27 16:23:54,Null,Null,Null,0,0,Null,0
