,User ID Integer,User ID String,Name Of User,Display Name,Tweet ID Integer,Tweet ID String,tweet,Date Created,Reply User ID Integer,Reply User ID String,Reply User Screen Name,Like Count,Retweet Count,Place,Prediction,TF-IDF Score,Tokens
9,55335323,55335323,Cherry Pie,C___Moe,1400462149537845248,1400462149537845248,bvsedxqueen pray don’t mishandl pray for,2021-06-03 14:39:30,0,Null,Null,0,0,Null,0,"  (0, 302)	1.0","['bvsedxqueen', 'pray', 'don’t', 'mishandl', 'pray', 'for']"
10,874851254,874851254,Angerose56,angerose56,1400462149374275591,1400462149374275591,jackposobiec he told gain function admit email rand paul say fauci lie usfund resear…,2021-06-03 14:39:30,0,Null,Null,0,0,Null,0,"  (0, 880)	0.4471660939998797
  (0, 724)	0.33541401390255815
  (0, 489)	0.4437716588173269
  (0, 376)	0.42567832023381413
  (0, 6)	0.5562414998614376","['jackposobiec', 'he', 'told', 'gain', 'function', 'admit', 'email', 'rand', 'paul', 'say', 'fauci', 'lie', 'usfund', 'resear…']"
11,924810061481902080,924810061481902080,Daredevil/Scarlett (Yan-Fei) Ping,Yanfeiredevil,1400462149168680966,1400462149168680966,captainalbedo how so like send send happen last year,2021-06-03 14:39:30,1372526305493798923,1372526305493798923,CaptainAlbedo,0,0,Null,0,"  (0, 990)	0.28189449881439443
  (0, 782)	0.3279871934960963
  (0, 740)	0.6685635569225737
  (0, 492)	0.16132084139319952
  (0, 472)	0.2890905700091328
  (0, 407)	0.3788090736242981
  (0, 371)	0.33598895368695975","['captainalbedo', 'how', 'so', 'like', 'send', 'send', 'happen', 'last', 'year']"
12,1113607026582724608,1113607026582724608,V🌸(semi-ia bc📚),stiIlwithyeji,1400462149240037384,1400462149240037384,straykidsfilm winner kingdom legendari war straykid httpstcoryelbcpg,2021-06-03 14:39:30,0,Null,Null,0,0,Null,0,"  (0, 933)	1.0","['straykidsfilm', 'winner', 'kingdom', 'legendari', 'war', 'straykid', 'httpstcoryelbcpg']"
13,888028490548641792,888028490548641792,𝚋𝚞𝚋𝚋𝚕𝚎 𝚐𝚞𝚖,elloizacastro,1400462149340712965,1400462149340712965,wwjxcelin hi pleas take time read 🥺 friend encount accid last night need oper fractured…,2021-06-03 14:39:30,0,Null,Null,0,0,Null,0,"  (0, 872)	0.28635192105151797
  (0, 829)	0.3027956523049818
  (0, 653)	0.3627219256992807
  (0, 595)	0.34812579823875867
  (0, 581)	0.37982670111240224
  (0, 472)	0.33917285834479505
  (0, 388)	0.44948781588346143
  (0, 312)	0.33498172506801827","['wwjxcelin', 'hi', 'pleas', 'take', 'time', 'read', '🥺', 'friend', 'encount', 'accid', 'last', 'night', 'need', 'oper', 'fractured…']"
14,1193269063142846464,1193269063142846464,megz 🦋🍣🥢,megzhaupt,1400462149319757828,1400462149319757828,kraanlif cant believ mental break finish assign man name jacobu,2021-06-03 14:39:30,0,Null,Null,0,0,Null,0,"  (0, 573)	0.3862278755339455
  (0, 525)	0.32035440361773876
  (0, 288)	0.5089074422253003
  (0, 122)	0.3174289605738172
  (0, 103)	0.4401984480602312
  (0, 72)	0.44122384433000755","['kraanlif', 'cant', 'believ', 'mental', 'break', 'finish', 'assign', 'man', 'name', 'jacobu']"
15,3306719487,3306719487,el ⁷ dynamite should’ve won ♡,okwoosan,1400462149470752772,1400462149470752772,fayewoo trash,2021-06-03 14:39:30,0,Null,Null,0,0,Null,0,"  (0, 894)	1.0","['fayewoo', 'trash']"
16,1392340079662702594,1392340079662702594,JYSIM,JY_SHIMS,1400462149214904329,1400462149214904329,jakeupdateteam enhypen enoclock teaser jake 😍 jake 제이크 enhypenjak 엔하이픈제이크enhypenmemb enhypen httpstcojqdyf…,2021-06-03 14:39:30,0,Null,Null,0,0,Null,0,,"['jakeupdateteam', 'enhypen', 'enoclock', 'teaser', 'jake', '😍', 'jake', '제이크', 'enhypenjak', '엔하이픈제이크enhypenmemb', 'enhypen', 'httpstcojqdyf…']"
17,1362920095413010437,1362920095413010437,bulba,bulbamates,1400462149395255306,1400462149395255306,adorejinan whi ikon eas good done music show person like attitud eas 😭 ikon …,2021-06-03 14:39:30,0,Null,Null,0,0,Null,0,"  (0, 954)	0.4104141162164786
  (0, 757)	0.3249200842517029
  (0, 638)	0.36360572563345067
  (0, 568)	0.36602557155282794
  (0, 492)	0.18003005710353062
  (0, 347)	0.3945213169535321
  (0, 221)	0.34673512534354944
  (0, 44)	0.38925597128066486","['adorejinan', 'whi', 'ikon', 'eas', 'good', 'done', 'music', 'show', 'person', 'like', 'attitud', 'eas', '😭', 'ikon', '…']"
18,1272434106672967680,1272434106672967680,We Aki ride🔆あきら,PinoyKako,1400462149420388352,1400462149420388352,teamacesph forgotten dcn era welcom btw era borntowin songreleas biniborntowin biniph httpstcoqdqlyw…,2021-06-03 14:39:30,0,Null,Null,0,0,Null,0,"  (0, 947)	1.0","['teamacesph', 'forgotten', 'dcn', 'era', 'welcom', 'btw', 'era', 'borntowin', 'songreleas', 'biniborntowin', 'biniph', 'httpstcoqdqlyw…']"
19,1361217400042000385,1361217400042000385,Rayyan Javed,rayyan_j23,1400462149453975557,1400462149453975557,kateeditz get deja vu while look thi mayb famou aist past life,2021-06-03 14:39:30,1169877987610644480,1169877987610644480,KateEditz_,0,0,Null,0,"  (0, 955)	0.39129528313897366
  (0, 854)	0.41904309512157034
  (0, 632)	0.45801674569990014
  (0, 531)	0.4143773838506739
  (0, 508)	0.3411473967744431
  (0, 490)	0.34491154193369244
  (0, 330)	0.23336111962067027","['kateeditz', 'get', 'deja', 'vu', 'while', 'look', 'thi', 'mayb', 'famou', 'aist', 'past', 'life']"
